invoice_id,invoice_number,customer_id,invoice_date,due_date,subtotal_amount,discount_code,discount_amount,tax_amount,total_amount,payment_status,payment_method,payment_date,currency,region,store_id,channel,created_by
INV-1000015,NUM-2000015,1688,2025-07-21,2025-09-04,43223.51,,0.0,7780.23,51003.74,PAID,DEMAND_DRAFT,2025-08-30,INR,INDIA WEST,5141,IN_STORE,etl_user
INV-1000016,NUM-2000016,1334,2024-10-16,2024-10-31,130180.0,,0.0,23432.4,153612.4,PAID,CASH,2024-11-11,INR,INDIA NORTH,5055,B2B,etl_user
INV-1000017,NUM-2000017,1679,2026-01-30,2026-03-01,20399.44,,0.0,3671.9,24071.34,OVERDUE,NEFT,,INR,INDIA SOUTH,5069,PHONE,etl_user
INV-1000018,NUM-2000018,1336,2025-09-01,2025-10-31,198992.16,WEEKEND886,20608.58,32109.04,210492.62,PAID,CHEQUE,2025-09-07,INR,INDIA WEST,5010,IN_STORE,etl_user
INV-1000019,NUM-2000019,1499,2025-08-10,2025-08-25,223659.37,WEEKEND875,43522.28,32424.68,212561.77,REFUNDED,DEMAND_DRAFT,2025-09-07,INR,INDIA SOUTH,5006,PHONE,etl_user
INV-1000020,NUM-2000020,1776,2024-10-17,2024-11-16,114805.34,,0.0,20664.96,135470.3,PAID,NEFT,2024-10-28,INR,INDIA NORTH,5095,ONLINE,etl_user
INV-1000021,NUM-2000021,2563,2024-10-24,2024-12-23,11416.77,,0.0,2055.02,13471.79,CANCELLED,DEMAND_DRAFT,,INR,INDIA WEST,5053,MOBILE_APP,etl_user
INV-1000022,NUM-2000022,2181,2024-07-27,2024-08-26,98225.73,EOSS204,9981.96,15883.88,104127.65,PENDING,UPI,,INR,INDIA SOUTH,5119,MOBILE_APP,etl_user
INV-1000023,NUM-2000023,2221,2024-08-17,2024-10-01,183493.84,REPUBLIC633,34167.49,26878.74,176205.09,PENDING,IMPS,,INR,INDIA WEST,5138,IN_STORE,etl_user
INV-1000024,NUM-2000024,1195,2025-04-04,2025-04-19,202500.47,FREEDOM453,42497.48,28800.54,188803.53,PAID,DEMAND_DRAFT,2025-05-12,INR,INDIA SOUTH,5194,ONLINE,etl_user
INV-1000025,NUM-2000025,2717,2024-11-24,2024-12-09,210483.09,,0.0,37886.96,248370.05,PAID,CREDIT_CARD,2025-01-05,INR,INDIA NORTH,5003,PHONE,etl_user
INV-1000026,NUM-2000026,2687,2025-06-05,2025-06-20,130039.57,,0.0,23407.12,153446.69,PENDING,UPI,,INR,INDIA NORTH EAST,5107,IN_STORE,etl_user
INV-1000027,NUM-2000027,2057,2025-05-05,2025-05-20,105639.07,,0.0,19015.03,124654.1,CANCELLED,CREDIT_CARD,,INR,INDIA CENTRAL,5112,MOBILE_APP,etl_user
INV-1000028,NUM-2000028,2882,2025-09-11,2025-09-26,97862.48,,0.0,17615.25,115477.73,OVERDUE,NEFT,,INR,INDIA NORTH,5180,PHONE,etl_user
INV-1000029,NUM-2000029,1584,2026-04-04,2026-06-03,39863.23,,0.0,7175.38,47038.61,PAID,CHEQUE,2026-04-14,INR,INDIA NORTH,5005,IN_STORE,etl_user
INV-1000030,NUM-2000030,1740,2026-02-22,2026-04-23,21545.15,REPUBLIC428,1459.25,3615.46,23701.36,REFUNDED,CREDIT_CARD,2026-03-12,INR,INDIA NORTH,5065,PHONE,etl_user
INV-1000031,NUM-2000031,1587,2024-08-01,2024-09-30,22098.11,,0.0,3977.66,26075.77,PAID,NEFT,2024-09-12,INR,INDIA NORTH EAST,5034,MOBILE_APP,etl_user
INV-1000032,NUM-2000032,1384,2025-12-22,2026-01-06,12796.43,WEEKEND329,2781.45,1802.7,11817.68,PAID,CREDIT_CARD,2026-01-09,INR,INDIA WEST,5192,B2B,etl_user
INV-1000033,NUM-2000033,2246,2026-02-07,2026-04-08,225755.2,,0.0,40635.94,266391.14,PAID,CHEQUE,2026-02-28,INR,INDIA NORTH EAST,5007,MOBILE_APP,etl_user
INV-1000034,NUM-2000034,1513,2024-10-13,2024-10-28,72191.45,,0.0,12994.46,85185.91,PAID,NEFT,2024-11-21,INR,INDIA SOUTH,5049,ONLINE,etl_user
INV-1000035,NUM-2000035,2311,2026-03-08,2026-04-07,114297.5,,0.0,20573.55,134871.05,PAID,RTGS,2026-04-20,INR,INDIA EXPORTS,5124,ONLINE,etl_user
INV-1000036,NUM-2000036,2209,2024-10-15,2024-12-14,180214.83,,0.0,32438.67,212653.5,PAID,CHEQUE,2024-10-18,INR,INDIA SOUTH,5193,MOBILE_APP,etl_user
INV-1000037,NUM-2000037,1998,2025-03-04,2025-03-19,42518.4,EOSS204,4512.92,6840.99,44846.47,OVERDUE,IMPS,,INR,INDIA SOUTH,5137,ONLINE,etl_user
INV-1000038,NUM-2000038,1041,2026-01-17,2026-03-18,225674.38,,0.0,40621.39,266295.77,PAID,CHEQUE,2026-01-26,INR,INDIA NORTH,5093,IN_STORE,etl_user
INV-1000039,NUM-2000039,2893,2024-07-29,2024-09-27,149730.54,EOSS461,14243.83,24387.61,159874.32,PAID,RTGS,2024-08-30,INR,INDIA SOUTH,5092,B2B,etl_user
INV-1000040,NUM-2000040,1851,2025-02-08,2025-04-09,35659.88,,0.0,6418.78,42078.66,PENDING,NEFT,,INR,INDIA SOUTH,5068,B2B,etl_user
INV-1000041,NUM-2000041,2947,2024-04-20,2024-05-20,156815.17,EOSS804,14477.19,25620.84,167958.82,PAID,CASH,2024-06-03,INR,INDIA EAST,5066,B2B,etl_user
INV-1000042,NUM-2000042,1556,2024-01-21,2024-02-20,104064.55,,0.0,18731.62,122796.17,PENDING,DEMAND_DRAFT,,INR,INDIA WEST,5160,ONLINE,etl_user
INV-1000043,NUM-2000043,1374,2025-06-16,2025-07-01,131955.35,PRIME874,11389.99,21701.76,142267.12,PAID,IMPS,2025-06-20,INR,INDIA SOUTH,5096,IN_STORE,etl_user
INV-1000044,NUM-2000044,2296,2024-08-25,2024-10-24,113039.5,,0.0,20347.11,133386.61,REFUNDED,CREDIT_CARD,2024-09-01,INR,INDIA WEST,5035,MOBILE_APP,etl_user
INV-1000045,NUM-2000045,1522,2024-02-03,2024-03-19,113337.67,,0.0,20400.78,133738.45,PENDING,NEFT,,INR,INDIA EXPORTS,5039,IN_STORE,etl_user
INV-1000046,NUM-2000046,1809,2024-04-12,2024-06-11,181350.47,,0.0,32643.08,213993.55,PAID,IMPS,2024-05-10,INR,INDIA WEST,5115,IN_STORE,etl_user
INV-1000047,NUM-2000047,2690,2024-03-13,2024-04-27,226433.11,,0.0,40757.96,267191.07,PAID,DEMAND_DRAFT,2024-03-19,INR,INDIA NORTH,5120,MOBILE_APP,etl_user
INV-1000048,NUM-2000048,2149,2024-03-11,2024-05-10,108811.41,,0.0,19586.05,128397.46,PAID,CREDIT_CARD,2024-03-12,INR,INDIA SOUTH,5068,IN_STORE,etl_user
INV-1000049,NUM-2000049,1578,2024-04-27,2024-05-27,165209.23,,0.0,29737.66,194946.89,PAID,CREDIT_CARD,2024-06-05,INR,INDIA WEST,5084,ONLINE,etl_user
INV-1000050,NUM-2000050,2617,2025-05-30,2025-07-14,34105.82,EOSS304,3050.79,5589.91,36644.94,CANCELLED,CREDIT_CARD,,INR,INDIA EAST,5019,MOBILE_APP,etl_user
INV-1000051,NUM-2000051,2780,2024-12-14,2025-01-28,191180.45,,0.0,34412.48,225592.93,PAID,IMPS,2025-01-24,INR,INDIA NORTH,5005,B2B,etl_user
INV-1000052,NUM-2000052,2141,2025-08-22,2025-10-21,115592.95,FLASH949,12425.73,18570.1,121737.32,CANCELLED,DEMAND_DRAFT,,INR,INDIA SOUTH,5080,ONLINE,etl_user
INV-1000053,NUM-2000053,2250,2025-12-25,2026-01-24,69508.07,,0.0,12511.45,82019.52,PENDING,CHEQUE,,INR,INDIA CENTRAL,5045,IN_STORE,etl_user
INV-1000054,NUM-2000054,1966,2024-10-01,2024-10-31,194517.28,,0.0,35013.11,229530.39,OVERDUE,NEFT,,INR,INDIA WEST,5136,ONLINE,etl_user
INV-1000055,NUM-2000055,1345,2025-03-14,2025-04-28,79203.6,,0.0,14256.65,93460.25,PAID,CASH,2025-04-13,INR,INDIA NORTH,5062,MOBILE_APP,etl_user
INV-1000056,NUM-2000056,1882,2024-07-30,2024-08-14,193237.02,HOLI142,37293.04,28069.92,184013.9,PAID,DEMAND_DRAFT,2024-08-21,INR,INDIA WEST,5141,PHONE,etl_user
INV-1000057,NUM-2000057,1151,2026-02-08,2026-03-25,42660.86,,0.0,7678.95,50339.81,PAID,IMPS,2026-02-23,INR,INDIA NORTH,5182,PHONE,etl_user
INV-1000058,NUM-2000058,2880,2025-04-08,2025-05-08,189762.06,,0.0,34157.17,223919.23,PAID,RTGS,2025-05-20,INR,INDIA EXPORTS,5151,MOBILE_APP,etl_user
INV-1000059,NUM-2000059,1050,2024-05-30,2024-07-29,241022.48,,0.0,43384.05,284406.53,PENDING,CREDIT_CARD,,INR,INDIA CENTRAL,5133,PHONE,etl_user
INV-1000060,NUM-2000060,2110,2024-01-28,2024-02-27,161881.35,,0.0,29138.64,191019.99,PAID,IMPS,2024-01-30,INR,INDIA EXPORTS,5140,B2B,etl_user
INV-1000061,NUM-2000061,2642,2024-03-15,2024-05-14,73807.31,,0.0,13285.32,87092.63,PAID,UPI,2024-03-19,INR,INDIA NORTH,5171,IN_STORE,etl_user
INV-1000062,NUM-2000062,1684,2026-02-24,2026-04-10,131154.16,,0.0,23607.75,154761.91,CANCELLED,CREDIT_CARD,,INR,INDIA SOUTH,5119,B2B,etl_user
INV-1000063,NUM-2000063,2532,2024-03-27,2024-05-11,180038.31,,0.0,32406.9,212445.21,PAID,NEFT,2024-04-12,INR,INDIA WEST,5044,PHONE,etl_user
INV-1000064,NUM-2000064,1304,2026-03-03,2026-04-17,249441.78,,0.0,44899.52,294341.3,PAID,NEFT,2026-03-22,INR,INDIA NORTH EAST,5016,IN_STORE,etl_user
INV-1000065,NUM-2000065,1115,2024-03-19,2024-05-18,10071.44,,0.0,1812.86,11884.3,PAID,RTGS,2024-04-04,INR,INDIA EXPORTS,5157,MOBILE_APP,etl_user
INV-1000066,NUM-2000066,1459,2025-09-30,2025-11-14,84316.4,,0.0,15176.95,99493.35,PAID,CREDIT_CARD,2025-10-01,INR,INDIA WEST,5146,PHONE,etl_user
INV-1000067,NUM-2000067,2978,2025-04-07,2025-06-06,244828.62,WEEKEND875,61181.0,33056.57,216704.19,PAID,RTGS,2025-04-29,INR,INDIA EXPORTS,5039,IN_STORE,etl_user
INV-1000068,NUM-2000068,2974,2025-01-06,2025-02-05,36485.36,,0.0,6567.36,43052.72,PENDING,CASH,,INR,INDIA EAST,5131,IN_STORE,etl_user
INV-1000069,NUM-2000069,1396,2025-03-07,2025-04-06,168313.63,WEEKEND396,9073.34,28663.25,187903.54,PAID,UPI,2025-03-15,INR,INDIA CENTRAL,5073,ONLINE,etl_user
INV-1000070,NUM-2000070,2809,2025-01-16,2025-02-15,110715.26,,0.0,19928.75,130644.01,PAID,NEFT,2025-01-23,INR,INDIA NORTH EAST,5034,MOBILE_APP,etl_user
INV-1000071,NUM-2000071,2453,2024-01-29,2024-03-14,216650.94,,0.0,38997.17,255648.11,PENDING,CREDIT_CARD,,INR,INDIA WEST,5044,ONLINE,etl_user
INV-1000072,NUM-2000072,2879,2024-05-23,2024-06-07,117279.58,,0.0,21110.32,138389.9,PAID,DEMAND_DRAFT,2024-06-01,INR,INDIA WEST,5113,MOBILE_APP,etl_user
INV-1000073,NUM-2000073,1685,2025-10-09,2025-11-08,16235.87,,0.0,2922.46,19158.33,OVERDUE,UPI,,INR,INDIA WEST,5126,PHONE,etl_user
INV-1000074,NUM-2000074,1343,2024-02-07,2024-03-08,94031.0,,0.0,16925.58,110956.58,PAID,UPI,2024-02-28,INR,INDIA EAST,5051,MOBILE_APP,etl_user
INV-1000075,NUM-2000075,1807,2025-03-06,2025-03-21,115577.12,,0.0,20803.88,136381.0,OVERDUE,DEMAND_DRAFT,,INR,INDIA WEST,5130,PHONE,etl_user
INV-1000076,NUM-2000076,1097,2024-10-17,2024-12-16,87105.61,,0.0,15679.01,102784.62,PAID,NEFT,2024-10-24,INR,INDIA CENTRAL,5112,IN_STORE,etl_user
INV-1000077,NUM-2000077,1614,2024-10-08,2024-11-07,30676.09,,0.0,5521.7,36197.79,PAID,DEMAND_DRAFT,2024-10-28,INR,INDIA NORTH,5163,ONLINE,etl_user
INV-1000078,NUM-2000078,1879,2025-02-05,2025-04-06,141108.85,EOSS763,19712.33,21851.37,143247.89,PAID,NEFT,2025-02-27,INR,INDIA NORTH,5170,MOBILE_APP,etl_user
INV-1000079,NUM-2000079,2736,2026-03-06,2026-04-05,223065.86,,0.0,40151.85,263217.71,CANCELLED,DEMAND_DRAFT,,INR,INDIA NORTH EAST,5007,ONLINE,etl_user
INV-1000080,NUM-2000080,2244,2024-06-21,2024-08-05,86231.28,,0.0,15521.63,101752.91,PENDING,CASH,,INR,INDIA NORTH,5105,MOBILE_APP,etl_user
INV-1000081,NUM-2000081,1637,2024-08-31,2024-10-15,28808.45,,0.0,5185.52,33993.97,PAID,RTGS,2024-09-29,INR,INDIA EAST,5060,PHONE,etl_user
INV-1000082,NUM-2000082,1069,2025-05-03,2025-06-17,193009.7,,0.0,34741.75,227751.45,PAID,CREDIT_CARD,2025-05-09,INR,INDIA WEST,5146,ONLINE,etl_user
INV-1000083,NUM-2000083,2542,2024-10-10,2024-12-09,32181.54,WEEKEND396,4944.48,4902.67,32139.73,REFUNDED,CASH,2024-11-20,INR,INDIA SOUTH,5137,B2B,etl_user
INV-1000084,NUM-2000084,2835,2024-11-09,2024-11-24,190093.46,,0.0,34216.82,224310.28,REFUNDED,CASH,2024-12-10,INR,INDIA NORTH EAST,5043,PHONE,etl_user
INV-1000085,NUM-2000085,1517,2025-07-14,2025-08-28,172216.49,REPUBLIC353,10910.75,29035.03,190340.77,PAID,CASH,2025-08-15,INR,INDIA NORTH,5056,B2B,etl_user
INV-1000086,NUM-2000086,2293,2024-10-18,2024-12-02,172411.96,,0.0,31034.15,203446.11,PAID,CHEQUE,2024-11-05,INR,INDIA SOUTH,5068,ONLINE,etl_user
INV-1000087,NUM-2000087,1130,2026-04-03,2026-04-18,156810.63,,0.0,28225.91,185036.54,PAID,RTGS,2026-05-12,INR,INDIA EAST,5033,IN_STORE,etl_user
INV-1000088,NUM-2000088,1105,2026-04-07,2026-05-22,77173.68,,0.0,13891.26,91064.94,PAID,NEFT,2026-05-22,INR,INDIA EAST,5102,ONLINE,etl_user
INV-1000089,NUM-2000089,2468,2025-10-06,2025-10-21,193269.06,REPUBLIC353,28722.03,29618.47,194165.5,PAID,IMPS,2025-10-12,INR,INDIA SOUTH,5069,ONLINE,etl_user
INV-1000090,NUM-2000090,1216,2025-08-23,2025-09-07,33423.38,EOSS304,5568.35,5013.91,32868.94,PAID,CHEQUE,2025-09-25,INR,INDIA SOUTH,5092,PHONE,etl_user
INV-1000091,NUM-2000091,2084,2024-10-18,2024-11-02,169394.79,,0.0,30491.06,199885.85,PAID,CREDIT_CARD,2024-11-02,INR,INDIA SOUTH,5040,MOBILE_APP,etl_user
INV-1000092,NUM-2000092,1602,2024-02-23,2024-03-09,187980.62,,0.0,33836.51,221817.13,PENDING,IMPS,,INR,INDIA SOUTH,5038,B2B,etl_user
INV-1000093,NUM-2000093,2656,2024-03-03,2024-05-02,85304.19,,0.0,15354.75,100658.94,PAID,CASH,2024-03-10,INR,INDIA CENTRAL,5046,IN_STORE,etl_user
INV-1000094,NUM-2000094,2542,2024-11-11,2024-11-26,7060.79,,0.0,1270.94,8331.73,PENDING,CREDIT_CARD,,INR,INDIA CENTRAL,5129,IN_STORE,etl_user
INV-1000095,NUM-2000095,1319,2026-03-25,2026-04-24,215014.88,,0.0,38702.68,253717.56,PAID,IMPS,2026-05-06,INR,INDIA EXPORTS,5150,ONLINE,etl_user
INV-1000096,NUM-2000096,1409,2024-02-17,2024-03-03,47875.08,DIWALI192,9567.82,6895.31,45202.57,PAID,RTGS,2024-02-22,INR,INDIA CENTRAL,5075,MOBILE_APP,etl_user
INV-1000097,NUM-2000097,1518,2024-06-08,2024-06-23,123448.57,HOLI182,22986.77,18083.12,118544.92,PAID,DEMAND_DRAFT,2024-07-11,INR,INDIA WEST,5063,IN_STORE,etl_user
INV-1000098,NUM-2000098,2041,2025-11-22,2025-12-22,13398.86,,0.0,2411.79,15810.65,PENDING,CREDIT_CARD,,INR,INDIA SOUTH,5057,MOBILE_APP,etl_user
INV-1000099,NUM-2000099,2366,2024-07-29,2024-08-13,25073.11,,0.0,4513.16,29586.27,PAID,DEMAND_DRAFT,2024-08-09,INR,INDIA SOUTH,5178,ONLINE,etl_user
INV-1000100,NUM-2000100,2771,2025-03-21,2025-04-05,40529.27,,0.0,7295.27,47824.54,PAID,CHEQUE,2025-04-28,INR,INDIA SOUTH,5015,MOBILE_APP,etl_user
INV-1000101,NUM-2000101,2935,2026-01-21,2026-03-07,23871.23,,0.0,4296.82,28168.05,PENDING,CHEQUE,,INR,INDIA EXPORTS,5124,IN_STORE,etl_user
INV-1000102,NUM-2000102,1176,2025-03-09,2025-05-08,60256.07,,0.0,10846.09,71102.16,PAID,IMPS,2025-04-13,INR,INDIA NORTH,5172,PHONE,etl_user
INV-1000103,NUM-2000103,1989,2025-03-29,2025-04-13,245062.87,,0.0,44111.32,289174.19,PENDING,CHEQUE,,INR,INDIA NORTH EAST,5109,MOBILE_APP,etl_user
INV-1000104,NUM-2000104,1233,2025-10-10,2025-10-25,23941.68,,0.0,4309.5,28251.18,PAID,CHEQUE,2025-10-30,INR,INDIA WEST,5010,MOBILE_APP,etl_user
INV-1000105,NUM-2000105,1586,2026-03-27,2026-05-26,16927.39,REPUBLIC900,1860.21,2712.09,17779.27,REFUNDED,NEFT,2026-04-08,INR,INDIA NORTH,5168,ONLINE,etl_user
INV-1000106,NUM-2000106,1233,2026-01-29,2026-02-13,137841.85,,0.0,24811.53,162653.38,PAID,CHEQUE,2026-01-31,INR,INDIA SOUTH,5074,B2B,etl_user
INV-1000107,NUM-2000107,2424,2025-10-07,2025-10-22,142577.02,,0.0,25663.86,168240.88,OVERDUE,IMPS,,INR,INDIA CENTRAL,5110,MOBILE_APP,etl_user
INV-1000108,NUM-2000108,2787,2026-01-16,2026-03-02,25018.64,,0.0,4503.36,29522.0,PAID,DEMAND_DRAFT,2026-01-27,INR,INDIA NORTH,5065,B2B,etl_user
INV-1000109,NUM-2000109,2803,2024-07-01,2024-08-30,77805.92,REPUBLIC428,13421.21,11589.25,75973.96,PAID,IMPS,2024-07-08,INR,INDIA EXPORTS,5157,MOBILE_APP,etl_user
INV-1000110,NUM-2000110,2974,2025-08-16,2025-09-15,203540.78,,0.0,36637.34,240178.12,PAID,CREDIT_CARD,2025-08-24,INR,INDIA SOUTH,5089,IN_STORE,etl_user
INV-1000111,NUM-2000111,2990,2025-04-04,2025-04-19,136913.02,,0.0,24644.34,161557.36,PAID,DEMAND_DRAFT,2025-05-16,INR,INDIA WEST,5012,ONLINE,etl_user
INV-1000112,NUM-2000112,1426,2026-02-02,2026-03-04,219778.5,,0.0,39560.13,259338.63,PAID,UPI,2026-02-19,INR,INDIA WEST,5012,PHONE,etl_user
INV-1000113,NUM-2000113,2668,2024-04-22,2024-06-21,29591.98,,0.0,5326.56,34918.54,PAID,NEFT,2024-04-30,INR,INDIA SOUTH,5106,B2B,etl_user
INV-1000114,NUM-2000114,2608,2024-01-18,2024-02-17,28964.61,,0.0,5213.63,34178.24,PAID,DEMAND_DRAFT,2024-01-23,INR,INDIA CENTRAL,5026,PHONE,etl_user
INV-1000115,NUM-2000115,1433,2026-04-10,2026-05-25,227093.34,,0.0,40876.8,267970.14,PAID,CREDIT_CARD,2026-04-14,INR,INDIA NORTH,5036,MOBILE_APP,etl_user
INV-1000116,NUM-2000116,1295,2025-05-23,2025-07-07,24539.83,,0.0,4417.17,28957.0,PAID,NEFT,2025-06-15,INR,INDIA WEST,5184,PHONE,etl_user
INV-1000117,NUM-2000117,2833,2024-07-27,2024-08-26,225823.57,,0.0,40648.24,266471.81,PAID,IMPS,2024-08-15,INR,INDIA NORTH,5055,B2B,etl_user
INV-1000118,NUM-2000118,1840,2024-10-04,2024-11-03,114701.9,,0.0,20646.34,135348.24,PAID,CHEQUE,2024-10-14,INR,INDIA EAST,5174,PHONE,etl_user
INV-1000119,NUM-2000119,1113,2024-07-18,2024-09-16,108834.48,,0.0,19590.21,128424.69,PAID,CHEQUE,2024-08-04,INR,INDIA SOUTH,5188,B2B,etl_user
INV-1000120,NUM-2000120,1098,2025-04-11,2025-04-26,91820.18,,0.0,16527.63,108347.81,PAID,CASH,2025-04-21,INR,INDIA WEST,5184,PHONE,etl_user
INV-1000121,NUM-2000121,2997,2025-02-27,2025-03-14,235445.76,WEEKEND475,34496.78,36170.82,237119.8,PAID,NEFT,2025-03-23,INR,INDIA NORTH EAST,5143,ONLINE,etl_user
INV-1000122,NUM-2000122,1478,2025-02-18,2025-03-20,93936.79,,0.0,16908.62,110845.41,PAID,IMPS,2025-03-21,INR,INDIA NORTH,5148,IN_STORE,etl_user
INV-1000123,NUM-2000123,1498,2025-11-19,2026-01-03,35088.23,MEGA643,7072.65,5042.8,33058.38,PAID,IMPS,2025-12-05,INR,INDIA CENTRAL,5191,MOBILE_APP,etl_user
INV-1000124,NUM-2000124,2901,2026-03-30,2026-05-14,41975.6,,0.0,7555.61,49531.21,PAID,UPI,2026-04-19,INR,INDIA SOUTH,5014,ONLINE,etl_user
INV-1000125,NUM-2000125,1761,2025-09-28,2025-11-12,3797.17,,0.0,683.49,4480.66,PAID,CASH,2025-09-29,INR,INDIA SOUTH,5188,MOBILE_APP,etl_user
INV-1000126,NUM-2000126,1308,2025-05-06,2025-06-20,231251.26,,0.0,41625.23,272876.49,PENDING,RTGS,,INR,INDIA NORTH,5168,MOBILE_APP,etl_user
INV-1000127,NUM-2000127,2061,2025-08-31,2025-09-30,119465.19,EOSS461,14888.95,18823.72,123399.96,PAID,UPI,2025-09-05,INR,INDIA WEST,5072,IN_STORE,etl_user
INV-1000128,NUM-2000128,2622,2024-05-08,2024-05-23,59213.68,,0.0,10658.46,69872.14,PENDING,CHEQUE,,INR,INDIA NORTH,5170,PHONE,etl_user
INV-1000129,NUM-2000129,1191,2024-04-23,2024-06-22,248504.71,WEEKEND875,14281.74,42160.13,276383.1,PAID,DEMAND_DRAFT,2024-04-28,INR,INDIA SOUTH,5185,IN_STORE,etl_user
INV-1000130,NUM-2000130,1283,2026-03-19,2026-04-03,86528.25,,0.0,15575.08,102103.33,OVERDUE,NEFT,,INR,INDIA NORTH,5158,ONLINE,etl_user
INV-1000131,NUM-2000131,2475,2025-02-05,2025-04-06,85373.21,,0.0,15367.18,100740.39,OVERDUE,CREDIT_CARD,,INR,INDIA WEST,5002,IN_STORE,etl_user
INV-1000132,NUM-2000132,2539,2026-03-21,2026-05-20,68001.69,,0.0,12240.3,80241.99,PAID,NEFT,2026-03-24,INR,INDIA SOUTH,5178,B2B,etl_user
INV-1000133,NUM-2000133,2183,2026-01-11,2026-02-25,186906.76,FREEDOM453,46424.59,25286.79,165768.96,PAID,CHEQUE,2026-01-19,INR,INDIA SOUTH,5074,ONLINE,etl_user
INV-1000134,NUM-2000134,1295,2024-04-11,2024-05-11,52015.41,,0.0,9362.77,61378.18,PAID,CHEQUE,2024-05-04,INR,INDIA NORTH,5156,PHONE,etl_user
INV-1000135,NUM-2000135,1751,2025-09-20,2025-11-19,72512.01,,0.0,13052.16,85564.17,REFUNDED,CREDIT_CARD,2025-09-29,INR,INDIA SOUTH,5069,IN_STORE,etl_user
INV-1000136,NUM-2000136,2097,2026-04-23,2026-05-08,132865.83,,0.0,23915.85,156781.68,PENDING,CREDIT_CARD,,INR,INDIA NORTH EAST,5016,B2B,etl_user
INV-1000137,NUM-2000137,2491,2026-04-17,2026-06-01,6147.57,,0.0,1106.56,7254.13,CANCELLED,CREDIT_CARD,,INR,INDIA NORTH,5118,ONLINE,etl_user
INV-1000138,NUM-2000138,2431,2024-06-08,2024-06-23,50427.28,,0.0,9076.91,59504.19,PENDING,CASH,,INR,INDIA SOUTH,5188,MOBILE_APP,etl_user
INV-1000139,NUM-2000139,2541,2025-05-29,2025-06-28,72603.9,,0.0,13068.7,85672.6,PENDING,RTGS,,INR,INDIA NORTH,5173,B2B,etl_user
INV-1000140,NUM-2000140,2100,2024-05-05,2024-06-04,100990.77,,0.0,18178.34,119169.11,PAID,DEMAND_DRAFT,2024-05-16,INR,INDIA EAST,5132,MOBILE_APP,etl_user
